STRUCTURE,STRUCTURE_ID,STRUCTURE_NAME,ACTION,REF_AREA,Reference area,FREQ,Frequency of observation,INDICATOR_TYPE,Indicator type,MEASURE,Measure,UNIT_MEASURE,Unit of measure,TIME_PERIOD,Time period,OBS_VALUE,Observation value,OBS_STATUS,Observation status,UNIT_MULT,Unit multiplier,DECIMALS,Decimals
DATAFLOW,OECD.STI.DEP:DSD_BB_DATABASE@DF_BB_TEL_DATABASE(1.0),Broadband and telecom databases,I,EST,Estonia,Q,Quarterly,FBB,Fixed broadband,ALL,All subscriptions,SB,Subscriptions,2023-Q4,,516147,,A,Normal value,0,Units,0,Zero
DATAFLOW,OECD.STI.DEP:DSD_BB_DATABASE@DF_BB_TEL_DATABASE(1.0),Broadband and telecom databases,I,EST,Estonia,Q,Quarterly,MBB,Mobile broadband,ALL,All subscriptions,SB,Subscriptions,2023-Q4,,2402701,,A,Normal value,0,Units,0,Zero
DATAFLOW,OECD.STI.DEP:DSD_BB_DATABASE@DF_BB_TEL_DATABASE(1.0),Broadband and telecom databases,I,EST,Estonia,Q,Quarterly,FBB,Fixed broadband,ALL,All subscriptions,SB,Subscriptions,2023-Q2,,517547,,A,Normal value,0,Units,0,Zero
DATAFLOW,OECD.STI.DEP:DSD_BB_DATABASE@DF_BB_TEL_DATABASE(1.0),Broadband and telecom databases,I,DNK,Denmark,Q,Quarterly,MBB,Mobile broadband,ALL,All subscriptions,SB,Subscriptions,2023-Q2,,8611868,,A,Normal value,0,Units,0,Zero
DATAFLOW,OECD.STI.DEP:DSD_BB_DATABASE@DF_BB_TEL_DATABASE(1.0),Broadband and telecom databases,I,DNK,Denmark,Q,Quarterly,MBB,Mobile broadband,ALL,All subscriptions,SB,Subscriptions,2022-Q4,,8373241,,A,Normal value,0,Units,0,Zero
DATAFLOW,OECD.STI.DEP:DSD_BB_DATABASE@DF_BB_TEL_DATABASE(1.0),Broadband and telecom databases,I,DNK,Denmark,Q,Quarterly,FBB,Fixed broadband,ALL,All subscriptions,SB,Subscriptions,2023-Q2,,2646625,,A,Normal value,0,Units,0,Zero
DATAFLOW,OECD.STI.DEP:DSD_BB_DATABASE@DF_BB_TEL_DATABASE(1.0),Broadband and telecom databases,I,DNK,Denmark,Q,Quarterly,FBB,Fixed broadband,ALL,All subscriptions,SB,Subscriptions,2022-Q4,,2645902,,A,Normal value,0,Units,0,Zero
DATAFLOW,OECD.STI.DEP:DSD_BB_DATABASE@DF_BB_TEL_DATABASE(1.0),Broadband and telecom databases,I,DNK,Denmark,Q,Quarterly,MBB,Mobile broadband,ALL,All subscriptions,SB,Subscriptions,2023-Q4,,8669850,,A,Normal value,0,Units,0,Zero
DATAFLOW,OECD.STI.DEP:DSD_BB_DATABASE@DF_BB_TEL_DATABASE(1.0),Broadband and telecom databases,I,DNK,Denmark,Q,Quarterly,FBB,Fixed broadband,ALL,All subscriptions,SB,Subscriptions,2023-Q4,,2619232,,A,Normal value,0,Units,0,Zero
DATAFLOW,OECD.STI.DEP:DSD_BB_DATABASE@DF_BB_TEL_DATABASE(1.0),Broadband and telecom databases,I,CZE,Czechia,Q,Quarterly,FBB,Fixed broadband,ALL,All subscriptions,SB,Subscriptions,2023-Q2,,4084105,,A,Normal value,0,Units,0,Zero
